               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046652,            0.023097,           0.0069126,              0.6009,             0.54567,             0.56354,             0.26542,            0.043409,            0.015405,           0.0083922,            0.008845,            0.008845,            0.008845
                  37,            0.046568,            0.022958,           0.0071567,             0.60082,             0.54888,             0.56365,             0.26799,            0.043258,            0.015441,           0.0086539,            0.008812,            0.008812,            0.008812
                  38,             0.04649,            0.023133,           0.0071912,             0.61445,             0.54531,             0.56185,             0.26196,              0.0433,            0.015528,           0.0081315,            0.008779,            0.008779,            0.008779
                  39,            0.046379,             0.02317,           0.0067615,             0.62097,             0.55281,              0.5704,             0.26901,            0.042946,             0.01535,           0.0083231,            0.008746,            0.008746,            0.008746
                  40,             0.04606,            0.023019,           0.0065982,              0.6132,              0.5544,              0.5668,             0.26836,            0.042838,            0.015454,           0.0085141,            0.008713,            0.008713,            0.008713
                  41,            0.046071,            0.022817,           0.0067685,             0.62574,             0.54771,             0.57363,              0.2749,            0.042832,            0.015337,           0.0086421,             0.00868,             0.00868,             0.00868
                  42,            0.045726,            0.022583,           0.0068365,             0.60677,             0.55585,             0.57243,              0.2743,            0.042808,            0.015356,           0.0084114,            0.008647,            0.008647,            0.008647
                  43,            0.045825,            0.023097,           0.0067508,             0.60855,             0.55765,             0.57373,             0.27351,            0.042736,            0.015389,           0.0083332,            0.008614,            0.008614,            0.008614
                  44,            0.045428,            0.022682,           0.0066952,             0.61874,             0.56646,             0.57924,             0.27861,            0.042615,            0.015335,             0.00836,            0.008581,            0.008581,            0.008581
                  45,            0.045748,            0.022598,           0.0065802,             0.61861,             0.55669,               0.576,               0.278,            0.042526,            0.015372,           0.0080815,            0.008548,            0.008548,            0.008548
                  46,            0.045514,            0.022814,           0.0061853,             0.61598,             0.56802,             0.58408,             0.28028,            0.042286,             0.01529,           0.0082583,            0.008515,            0.008515,            0.008515
                  47,            0.045209,            0.022638,           0.0063026,             0.61682,             0.55252,             0.57925,             0.27859,            0.042337,            0.015317,           0.0084258,            0.008482,            0.008482,            0.008482
